system,n_scenarios,n_queries,accuracy,unauthorized_disclosure_rate,cross_instance_error_rate,cross_world_error_rate,provenance_laundering_error_rate
B3_global_character,264,1584,0.6565656565656566,0.6666666666666666,0.35555555555555557,0.47058823529411764,0.75
B5_branch_scoped_character,264,1584,0.7626262626262627,0.6666666666666666,0.35555555555555557,0.058823529411764705,0.75
B5a_lineage_only,264,1584,0.9242424242424242,0.6666666666666666,0.0,0.0,0.75
B5b_policy_only,264,1584,0.8383838383838383,0.0,0.35555555555555557,0.058823529411764705,0.0
B6_ncm_psi,264,1584,1.0,0.0,0.0,0.0,0.0
