prevalence,system,replicates,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,cross_instance_error_rate_mean,cross_instance_error_rate_sd,cross_instance_error_rate_min,cross_instance_error_rate_max,cross_world_error_rate_mean,cross_world_error_rate_sd,cross_world_error_rate_min,cross_world_error_rate_max,unauthorized_disclosure_rate_mean,unauthorized_disclosure_rate_sd,unauthorized_disclosure_rate_min,unauthorized_disclosure_rate_max
0.0,B5_branch_scoped_character,20,0.7626262626262627,0.0,0.7626262626262627,0.7626262626262627,0.35555555555555557,0.0,0.35555555555555557,0.35555555555555557,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0.0,B5a_lineage_only,20,0.9242424242424242,0.0,0.9242424242424242,0.9242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
0.0,B5b_policy_only,20,0.8383838383838385,0.0,0.8383838383838383,0.8383838383838383,0.35555555555555557,0.0,0.35555555555555557,0.35555555555555557,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0
0.0,B6_ncm_psi,20,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,B5_branch_scoped_character,20,0.7625631313131314,0.0005380313296886311,0.7613636363636364,0.7638888888888888,0.35541666666666666,0.0006211299937499394,0.3527777777777778,0.35555555555555557,0.05894607843137255,0.0016821880910619098,0.05392156862745098,0.06372549019607843,0.6666666666666666,0.0045061505869656284,0.6527777777777778,0.6805555555555556
0.05,B5a_lineage_only,20,0.92114898989899,0.0019953364048521933,0.9154040404040404,0.9236111111111112,0.00625,0.004494871093462926,0.0,0.018055555555555554,0.0012254901960784314,0.0018649164466977503,0.0,0.007352941176470588,0.6666666666666666,0.0045061505869656284,0.6527777777777778,0.6805555555555556
0.05,B5b_policy_only,20,0.8379734848484848,0.0006565592667255144,0.836489898989899,0.8390151515151515,0.35541666666666666,0.0006211299937499394,0.3527777777777778,0.35555555555555557,0.05894607843137255,0.0016821880910619098,0.05392156862745098,0.06372549019607843,0.00486111111111111,0.00815476317517222,0.0,0.027777777777777776
0.05,B6_ncm_psi,20,0.9965593434343434,0.0018713767692577368,0.9911616161616161,0.9987373737373737,0.00625,0.004494871093462926,0.0,0.018055555555555554,0.0012254901960784314,0.0018649164466977503,0.0,0.007352941176470588,0.00486111111111111,0.00815476317517222,0.0,0.027777777777777776
0.1,B5_branch_scoped_character,20,0.7622790404040404,0.0009039028449038254,0.76010101010101,0.7638888888888888,0.3552777777777778,0.000726594949695271,0.3541666666666667,0.35694444444444445,0.06004901960784313,0.0025767523678325815,0.056372549019607844,0.0661764705882353,0.6701388888888888,0.00994931110293584,0.6666666666666666,0.7083333333333334
0.1,B5a_lineage_only,20,0.9190025252525252,0.0018783694577316683,0.9160353535353535,0.9217171717171717,0.010208333333333333,0.00457934435665654,0.004166666666666667,0.019444444444444445,0.003553921568627451,0.0025736829773829926,0.0,0.00980392156862745,0.6701388888888888,0.00994931110293584,0.6666666666666666,0.7083333333333334
