system,decision_accuracy,scenario_all_correct,belief_accuracy,first_person_accuracy,disclosure_accuracy,provenance_accuracy,unauthorized_disclosure_rate,over_withholding_rate,false_first_person_rate,first_person_underattribution_rate
NCM-Psi-v0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AltSupportNoLineage,0.9375,0.8333333333333334,1.0,0.8333333333333334,1.0,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0
LineageNoAltSupport,0.875,0.75,1.0,1.0,0.75,0.75,0.0,0.25,0.0,0.0
TransferAdoption,0.8125,0.625,1.0,0.8333333333333334,0.75,0.6666666666666666,0.0,0.25,0.16666666666666666,0.0
AttributedTransfer,0.7291666666666666,0.375,0.6666666666666666,0.8333333333333334,0.75,0.6666666666666666,0.0,0.25,0.16666666666666666,0.0
BranchPrincipalACL,0.3958333333333333,0.0,0.6666666666666666,0.16666666666666666,0.75,0.0,0.25,0.0,0.8333333333333334,0.0
