system,N_rows,observable_fault_detection_recall,all_fault_detection_recall,UISR_all_faults,UISR_observable_faults,accepted_invalid_all_faults,exact_localization_given_detection,clean_false_alarm_rate,median_validate_us,p95_validate_us
G-Envelope,340,1.0,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667,1.0,0.0,90.619,121.1115
T-Envelope,340,1.0,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667,1.0,0.0,89.18700000000001,123.59480000000003
G-Complete,340,0.7857142857142857,0.7333333333333333,0.26666666666666666,0.21428571428571427,0.26666666666666666,1.0,0.0,53.434,75.20830000000004
T-Canonical,340,0.7857142857142857,0.7333333333333333,0.26666666666666666,0.21428571428571427,0.26666666666666666,1.0,0.0,51.967,71.331
T-Local,340,0.2857142857142857,0.26666666666666666,0.7333333333333333,0.7142857142857143,0.7333333333333333,1.0,0.0,46.058,61.66295
G-Raw,340,0.07142857142857142,0.06666666666666667,0.9333333333333333,0.9285714285714286,0.9333333333333333,1.0,0.0,37.471000000000004,51.547050000000006
