domain,episode_id,turn_id,source_line,text_sha256,information_referent_present,delete_signal_count,all_signal_operations
education,education_episode_custom_en_022_orbit_review_orbit_mentors_dual_track,t194,22,19fbc0beaeea98ea902902ff8d41a4372b9baad556595d64a3f2ca9beba06e27,True,1,delete
education,education_episode_custom_en_022_orbit_review_orbit_mentors_dual_track,t195,22,d71c725d5555314202152527a6bf717b67746a573619670c949bd3f245d86549,True,1,delete
education,education_episode_custom_en_022_orbit_review_orbit_mentors_dual_track,t196,22,f25c348f7a27da98875de022ef4b1598ad1ef0bbfc10309f81935cf981838403,True,1,delete
education,education_episode_custom_en_022_orbit_review_orbit_mentors_dual_track,t197,22,47c876549c73816b6af66d5626bc7e606230c62b5e6ff85dd34a37c35c0fb80f,True,1,delete
education,education_episode_custom_en_022_orbit_review_orbit_mentors_dual_track,t198,22,d7bb4ed321a7d34548f71d34725924414f18ea86ed6e08b148557f1f3f20dd04,True,1,delete
education,education_episode_custom_en_025_hollow_capstone_hollow_coaches_dual_track,t203,25,392a020bb5bbc8566313d6ca8b183b7417f4fab4eb116a991baef6ec96c087e5,True,1,delete
education,education_episode_custom_en_025_hollow_capstone_hollow_coaches_dual_track,t204,25,1c5b12166020562db54f38aa738646082422b9b48f5244525b14a5afe01d7005,True,1,delete
education,education_episode_custom_en_025_hollow_capstone_hollow_coaches_dual_track,t205,25,caa30b2cef0757a8154182348b8725ed0b1ec8e295179504f4591171d79f65e0,True,1,delete
education,education_episode_custom_en_025_hollow_capstone_hollow_coaches_dual_track,t206,25,80bc18ce08335fe7901e0902a997b7edf306a9968a2068db5a285cda2ba2e435,True,1,delete
education,education_episode_custom_en_025_hollow_capstone_hollow_coaches_dual_track,t207,25,29651f6fbe0d58c41b3c85fd67e438a05da235a7403d4be7f4f97b15b6d46945,True,1,delete
education,education_episode_custom_en_026_ember_practicum_ember_guides_dual_track,t203,26,f069acb14fa6161d6ca4fcc2fa33cc6338d34f81bf0b90e0105d0d9dea4f2995,True,1,delete
education,education_episode_custom_en_026_ember_practicum_ember_guides_dual_track,t204,26,47e51616a0f4ae4e542904df9700cd0c5e195d361426a02df6427bcf72cab899,True,1,delete
education,education_episode_custom_en_026_ember_practicum_ember_guides_dual_track,t205,26,0541caf0a12ffa1b74a37e439d8a69d9b76098491acf59bf1d3392b0d0dced68,True,1,delete
education,education_episode_custom_en_026_ember_practicum_ember_guides_dual_track,t206,26,8a4b0cfdab1d2274b7d17f4f41ca5a677f9172f5d512c2bdb41e9df28db45f7b,True,1,delete
education,education_episode_custom_en_026_ember_practicum_ember_guides_dual_track,t207,26,8c5de4ef6465d15a67700f793ed00b9372bf4c86e18bd434c80455657ad1acc8,True,1,delete
education,education_episode_custom_en_027_meridian_placement_meridian_mentors_dual_track,t203,27,6076759c5feabc6f3e44adc05aa0b4dc13d62c0d073553fb3032673df9064b8b,True,1,delete
education,education_episode_custom_en_027_meridian_placement_meridian_mentors_dual_track,t204,27,e17bd77ad923589c47b7756bc50692b70c518f487a9fce17c9eb01430aa1549d,True,1,delete
education,education_episode_custom_en_027_meridian_placement_meridian_mentors_dual_track,t205,27,c9e8cea67b2be4df910a613bfb8cf9b14b0167a22099afd1c9cf51b0fb443a60,True,1,delete
education,education_episode_custom_en_027_meridian_placement_meridian_mentors_dual_track,t206,27,0d9329a47f14fced7ffb22cdf403eeb9effc8edf1a2a1b2758a2dafeab05c401,True,1,delete
education,education_episode_custom_en_027_meridian_placement_meridian_mentors_dual_track,t207,27,e7be8331f8abdf835f9edaf0f6fa7b213941d99ca3fc6dbbe17cc203569626dd,True,1,delete
education,education_episode_custom_en_028_cinder_clearance_cinder_connectors_dual_track,t199,28,79cf5ec0aeed53e305a2382c749564b4a51ec017c3cbd41b9c10cd5e9686a913,True,1,delete
education,education_episode_custom_en_028_cinder_clearance_cinder_connectors_dual_track,t200,28,8f00dd867ec7916729c5cdb0137d2f80853ece1ba89d22dd9185e8829c61b236,False,0,
education,education_episode_custom_en_028_cinder_clearance_cinder_connectors_dual_track,t203,28,2060517eae363962ce9f9c1db5dda9e813ee58e7b3ab2d7d564a396e2b772667,True,1,delete
education,education_episode_custom_en_028_cinder_clearance_cinder_connectors_dual_track,t204,28,95077ca27b11dde36f29abccddf6fca5ec90b6891e01983c0da86ec7fe5d4d85,True,1,delete
education,education_episode_custom_en_029_paragon_petition_paragon_coaches_dual_track,t199,29,cde953df3dc4c735b971ce9a0f66952a9187175a0f0f1099f3fb58838ce46360,True,1,delete
education,education_episode_custom_en_029_paragon_petition_paragon_coaches_dual_track,t200,29,d98bff16ac844c399204b2e108d2444e5cf597a1def52dd521b57d1d254ad5ca,False,0,
education,education_episode_custom_en_029_paragon_petition_paragon_coaches_dual_track,t203,29,99419299e7405d79f9ae96e663d07bcb30c6c10a2e6944a436791779d312880e,True,1,delete
education,education_episode_custom_en_029_paragon_petition_paragon_coaches_dual_track,t204,29,986c17e68dab1d6e8b9eacde97e89043ba7924f6d8d8d7148bdb9797725a8b2e,True,1,delete
education,education_episode_custom_en_030_helix_petition_helix_coaches_dual_track,t199,30,917b5a5770ee30b94eaae787ef0b534b8338e3940194b4fde0c27968f52ecaaf,True,1,delete
education,education_episode_custom_en_030_helix_petition_helix_coaches_dual_track,t200,30,481e7fa05a674d4d219d28e2b765aa3c46f4d86174a2d351a2bb3789797b3e4b,False,0,
education,education_episode_custom_en_030_helix_petition_helix_coaches_dual_track,t203,30,8fbfa5e38ad05c98ecee3ec45f201840ae4a13d9e48dd430c11d0f698ef0eacd,True,1,delete
education,education_episode_custom_en_030_helix_petition_helix_coaches_dual_track,t204,30,40c754b6385b65c64cb1947eef18ca8ba04756e45faf9924e9a8ead7f590687c,True,1,delete
household,household_episode_custom_en_001_oak_entry_oak_cleaning_dual_access,t037,1,29b9bf9d03345bc83172587f35a0054f05d682a7fbcb8663ed1687603c64f994,True,1,delete
household,household_episode_custom_en_001_oak_entry_oak_cleaning_dual_access,t046,1,a5848dc973b3d9c44821659e82fac3dfc7c581f963d99f55fb67a1cd95f0465f,True,1,delete
household,household_episode_custom_en_001_oak_entry_oak_cleaning_dual_access,t048,1,b55af6047e3f7909d6767f03612d76a8ae9fd55def5db6d1615d64d28a32ff24,True,1,delete
household,household_episode_custom_en_001_oak_entry_oak_cleaning_dual_access,t089,1,57e8977fe0415eb56839183888d55bf8621206c8933ca93deca925f1214102d4,True,1,delete
household,household_episode_custom_en_001_oak_entry_oak_cleaning_dual_access,t136,1,d42e833ff449abd6550a84406aa71df8a33e9595232a6c24fb153d8d94dda1b4,True,1,delete
household,household_episode_custom_en_002_cedar_care_cedar_carpool_dual_support,t087,2,69634a0c175d65ff374a262f0b231a2a68ae793e57b082742d0e9fc4a379c3ee,True,1,delete
household,household_episode_custom_en_002_cedar_care_cedar_carpool_dual_support,t093,2,bde44caa3afa6afb70b05a896e83589cc57379a4205bb61ba8378b266948cb92,True,1,delete
household,household_episode_custom_en_002_cedar_care_cedar_carpool_dual_support,t104,2,699c69c486587ff22df63447cbdb5ca024ff1edeab4ea202b8cfcde1074351dc,True,1,delete
household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t036,3,48c260fb94f726842a463210a743a3ed2c2b57099ab568fc50762dabfe719c2e,False,0,
household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t062,3,1aef422d0f1477c5f0630ac9312294c2fa27d7fab93fe2fcf2737d918b074fb0,False,0,
household,household_episode_custom_en_003_maple_watch_maple_works_travel_service,t084,3,857caa01f041f0e5818ca80b295ec2cdb4b3d43b8513116caf518301769fe34d,False,0,
household,household_episode_custom_en_004_beacon_guest_beacon_guestmode_event_device,t032,4,a0bb7d41c223f718a37021500d20d107e0d4a6103e97a93240ecf11ad8fb024f,True,1,delete
household,household_episode_custom_en_004_beacon_guest_beacon_guestmode_event_device,t094,4,f94a41236b5d82aebfe2bec9e429df38a2cecbde4aebb19a84ac598076f85f60,True,1,delete
household,household_episode_custom_en_005_harbor_garage_harbor_charger_vehicle_return,t035,5,c0b7bf360979b70c69231e04eec708382889d6827b3f81fda95dc831c7db520b,True,1,delete
household,household_episode_custom_en_005_harbor_garage_harbor_charger_vehicle_return,t042,5,5b53d4961cc877afead370f5cd9882dd162e94df359ec8ddc972f6da11081f87,True,1,delete
household,household_episode_custom_en_005_harbor_garage_harbor_charger_vehicle_return,t067,5,c8849eff906cb5768e74af34995cc7e9618d32f785f6f55f76f417a6e8dea97f,True,1,delete
household,household_episode_custom_en_005_harbor_garage_harbor_charger_vehicle_return,t075,5,6904cdc20a66768f80fcc4250f20f0e2e4c65ba952bb8b5678b3a3852a559d6e,True,1,delete
household,household_episode_custom_en_005_harbor_garage_harbor_charger_vehicle_return,t080,5,055ba99cc4a2397ffcfd33ab4686469b4cf7a254d909b2835c195efc12780683,True,1,delete
household,household_episode_custom_en_006_willow_sleep_willow_screen_child_overnight,t088,6,444ec24146252ba3187a6c902b7f19d7c70de16bc5a21aed15a989d2dba307cf,True,1,delete
household,household_episode_custom_en_006_willow_sleep_willow_screen_child_overnight,t124,6,ab3728ca1bee2aeffed2b3134bd022c9277578ce47d0e1e276a1e43cba21e685,True,1,delete
household,household_episode_custom_en_006_willow_sleep_willow_screen_child_overnight,t148,6,f8522a91c88fae61add497370653654659b5bd8419adc7188d158fd852a5e039,True,1,delete
household,household_episode_custom_en_006_willow_sleep_willow_screen_child_overnight,t165,6,84816b9b8f4384eca5b47c40fe84da85e79434f5cc20b84eff00d77ff55e8750,True,1,delete
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t092,7,1b7ee9cb0653ad506ec443a26a774beb1146afcf2b33d2ab8609bd6a4289e8a7,True,1,delete
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t099,7,a5c55199a16195880b3145f918bf4d13c36d14917559b9a39162095e61c24bfe,True,1,delete
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t106,7,ff1a170244dd2954b426f19af687dab4e52c52cf226b4d53aa3ab2a094ffae58,True,1,delete
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t148,7,ba64e2df3882f402d7463bcc28fd92e8ffd128720789db527baeea3c694d4564,True,1,delete
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t149,7,6e81667f23d286f54c4b3109bfeace3d81d15e38f03babeb51d36a91c6fe44b8,False,0,
household,household_episode_custom_en_007_juniper_paws_juniper_parcel_pet_courier,t172,7,daa2fd7d49313b1b6c1c970ff0d0197d37f6fb2b6089932b183d994e83483bee,True,1,delete;restrict
household,household_episode_custom_en_008_saffron_supper_saffron_stems_surprise_setup,t073,8,e4fbd0c81ecc16d131e6ab4b6365f28c3878c9f29a5971802a8614eac570524a,False,0,
household,household_episode_custom_en_008_saffron_supper_saffron_stems_surprise_setup,t108,8,9883e379fdcc49db7644aecff02ed7450e79ed0a0ba60881d56a9f3ed2beba19,False,0,
household,household_episode_custom_en_008_saffron_supper_saffron_stems_surprise_setup,t145,8,98d23da7200cada85da42f679c751064466c7cfb5691edb8925b94f5ac80881d,True,1,delete
household,household_episode_custom_en_009_linden_lesson_linden_listen_tutor_music_private_note,t096,9,04e1eb2081714bf278a9a05b903d61c6488f47736a405a4b79071ad1879dca78,False,0,
household,household_episode_custom_en_009_linden_lesson_linden_listen_tutor_music_private_note,t174,9,554c3cc090fac399364bfacee77005e63569d4d38023aa76d657cc2e64e038ae,True,1,delete
household,household_episode_custom_en_010_rowan_wardrobe_rowan_wash_tailor_linen_private_note,t072,10,3c1664892044ab2e3cebe748186f46b506dedea6e72c3a1b8708bbd2cc3d0e31,True,1,delete
household,household_episode_custom_en_010_rowan_wardrobe_rowan_wash_tailor_linen_private_note,t109,10,e1b6611fa5fa65743e84b4ca1886ca5fa16853093b9257069172989ddc2ac8ad,True,1,delete
household,household_episode_custom_en_010_rowan_wardrobe_rowan_wash_tailor_linen_private_note,t129,10,c6149ca23ce5f39ca2edea941fd45ba395496273bac07abb4156d945b9222f5e,True,1,delete
household,household_episode_custom_en_010_rowan_wardrobe_rowan_wash_tailor_linen_private_note,t147,10,d5c00bfc446c416ba98556c389ea98ab1fcfed57e47e7d7e962399886986dc27,True,1,delete
household,household_episode_custom_en_010_rowan_wardrobe_rowan_wash_tailor_linen_private_note,t175,10,d845e2a459f120c8788c59ea10f085678c7ae89f9c700581b2e8a11c65d6e39c,True,1,delete
household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t102,12,9610d952e7dabe40dbdef2c14260657e6fe9d575802cc81fb7b3708cbf62ea6b,False,0,
household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t127,12,631732b0aec1412949e2d159eca0d7b0180cd286b9d028fc1113dc805f451fe0,False,0,
household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t155,12,aefc8f2831b784b40a61bb83e99a70b0ff54b112cf5024d2766d50bcbe901398,True,1,delete
household,household_episode_custom_en_012_birch_booth_birch_bins_yardsale_donation_private_note,t171,12,fe3a8d1c424e742c259e3a00e46a7f8f7370d0975175bd651b2b379babdf8d7b,False,0,
household,household_episode_custom_en_013_coral_pool_coral_cabana_swim_storage_private_note,t062,13,6cfa2365634828d313c50b20994f3ef8c9fb1c5c2d94fe67f656b2297be64291,True,1,delete
household,household_episode_custom_en_013_coral_pool_coral_cabana_swim_storage_private_note,t115,13,69832b655067572d51e165d21a3c08587118b91610dbedab94b8144bb29a544a,True,1,delete
household,household_episode_custom_en_013_coral_pool_coral_cabana_swim_storage_private_note,t139,13,d65244d3b9dce14cf499ddfffd7cef0d6f9c815f4467b4a0cb995d6b2203c755,True,1,delete
household,household_episode_custom_en_013_coral_pool_coral_cabana_swim_storage_private_note,t157,13,4f7a55886339092cb7900bdea7d7feb253bca479c683b6540557e8fa6a079bbd,True,1,delete
household,household_episode_custom_en_014_cypress_storm_cypress_supply_readiness_private_note,t091,14,51c4e115fc19886ca7da19425016c36daf8546414982b074bafc96d3bc386180,False,0,
household,household_episode_custom_en_014_cypress_storm_cypress_supply_readiness_private_note,t093,14,a487726deb00b5cca6c7886cbe6ec6e61c78e74d314a80b36ce6e9afd1bad4c2,False,0,
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t063,15,828ac209aefe9bc914b4ca200fc5c93b8b92a1a40b21825900c3e64bbf8d46b0,True,1,delete
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t064,15,2c27cd6c88786ce21cf0fbd77b5830d418bd18d2b2577472461de8f67c032a51,False,0,
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t065,15,6ba050afd961e8bbddd786d8510c312a8fde21cacd6d17e75667defd4c939f4c,True,1,delete
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t075,15,9b3cc7b2006795d789f82be95ae5e72154c5bd808020db63aab4ca419679ea14,True,1,delete
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t076,15,59adff28eb5d11068ef9afd448ce610bbbb19b6ea365eb31e5abae2701c22eec,True,1,delete
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t080,15,727209855d0865b561c927ae396a989c28667444d7569d42689f12877da784fc,True,1,delete
household,household_episode_custom_en_015_magnolia_frames_magnolia_freeze_gallery_meal_private_note,t081,15,bb4a9a3a2520d4a1d887cedfb25c66c67a95fe598810b0a3deeb2c7b461cca34,True,1,delete
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t152,16,477fed7da3f94c942c61b21a46003343d8813ce368e32bdca048c030c92851cc,False,0,
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t174,16,03a230616ac86f418f6f36d10a86e6ba9515af45bf73cf164bd8ac039016a3c4,True,1,delete
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t175,16,692e27bf4e4ad80aefeb211b4a2078bf7ca1a96caf24f068ba7ad146debd78d2,True,1,delete
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t176,16,a17f523d94063d72d5c2c4d48859f17e6299c1ee9fac5c132036668b7fe4a290,True,1,delete
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t177,16,db643708bda13e5416461599b59a6c57f50a5bc3bf90d5e0bb7c9bacab24bb41,True,1,delete
household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t178,16,91f4bab373506b197f2a1debe8198bef97c1ad070d07e33ab4ab235476dd60fb,True,1,delete
household,household_episode_custom_en_017_apricot_archive_apricot_adapter_media_backup_private_note,t152,17,477fed7da3f94c942c61b21a46003343d8813ce368e32bdca048c030c92851cc,False,0,
household,household_episode_custom_en_017_apricot_archive_apricot_adapter_media_backup_private_note,t174,17,256b8a6d75fad98b3198b9e4dfaf736595c9b39f35358f3eb37a82c7dc8ef50a,True,1,delete
household,household_episode_custom_en_017_apricot_archive_apricot_adapter_media_backup_private_note,t175,17,d81db8a79204c902af3c0866ddd2c092f6a2bf2a8ec7f6807827040dba01659f,True,1,delete
household,household_episode_custom_en_017_apricot_archive_apricot_adapter_media_backup_private_note,t176,17,df31a7c5604efa81f94897b502e73b5f9f32bc886db6f9b5bfb117663e089fd9,True,1,delete
